id	hyminox
01001	1
01003	1
01005	1
01007	2
01009	3
01011	1
01013	1
01015	3
01017	2
01019	3
01021	2
01023	1
01025	1
01027	2
01029	3
01031	1
01033	3
01035	1
01037	2
01039	1
01041	1
01043	4
01045	1
01047	1
01049	4
01051	2
01053	1
01055	4
01057	2
01059	3
01061	1
01063	2
01065	1
01067	1
01069	1
01071	3
01073	4
01075	2
01077	3
01079	3
01081	2
01083	3
01085	1
01087	1
01089	4
01091	1
01093	3
01095	4
01097	1
01099	1
01101	2
01103	4
01105	1
01107	2
01109	1
01111	2
01113	2
01115	3
01117	2
01119	2
01121	3
01123	2
01125	2
01127	3
01129	1
01131	1
01133	3
05001	2
05003	2
05005	3
05007	5
05009	3
05011	2
05013	2
05015	3
05017	2
05019	2
05021	3
05023	3
05025	2
05027	2
05029	3
05031	4
05033	4
05035	3
05037	2
05039	2
05041	2
05043	2
05045	3
05047	3
05049	3
05051	3
05053	2
05055	3
05057	2
05059	3
05061	2
05063	2
05065	3
05067	2
05069	2
05071	3
05073	2
05075	3
05077	3
05079	2
05081	2
05083	3
05085	3
05087	3
05089	3
05091	2
05093	3
05095	2
05097	2
05099	2
05101	3
05103	2
05105	3
05107	2
05109	2
05111	2
05113	3
05115	3
05117	2
05119	4
05121	3
05123	3
05125	3
05127	3
05129	3
05131	4
05133	2
05135	2
05137	3
05139	2
05141	3
05143	4
05145	3
05147	2
05149	3
09001	4
09003	3
09005	2
09007	1
09009	1
09011	1
09013	1
09015	1
10001	1
10003	1
10005	1
11001	3
12001	1
12003	1
12005	1
12007	1
12009	1
12011	0
12013	1
12015	0
12017	1
12019	2
12021	0
12023	1
12027	0
12029	0
12031	1
12033	1
12035	1
12037	0
12039	1
12041	1
12043	0
12045	0
12047	1
12049	1
12051	0
12053	1
12055	0
12057	1
12059	1
12061	1
12063	1
12065	1
12067	0
12069	1
12071	0
12073	1
12075	0
12077	1
12079	1
12081	1
12083	1
12085	1
12086	0
12087	0
12089	1
12091	1
12093	0
12095	2
12097	1
12099	0
12101	1
12103	1
12105	1
12107	1
12109	1
12111	1
12113	1
12115	0
12117	1
12119	3
12121	1
12123	0
12125	1
12127	2
12129	0
12131	1
12133	1
13001	1
13003	1
13005	1
13007	1
13009	2
13011	4
13013	4
13015	4
13017	1
13019	1
13021	2
13023	1
13025	1
13027	1
13029	1
13031	1
13033	1
13035	2
13037	1
13039	1
13043	1
13045	3
13047	4
13049	1
13051	1
13053	1
13055	3
13057	4
13059	3
13061	1
13063	4
13065	1
13067	6
13069	1
13071	1
13073	2
13075	1
13077	2
13079	1
13081	1
13083	3
13085	4
13087	1
13089	6
13091	1
13093	1
13095	1
13097	4
13099	1
13101	1
13103	1
13105	2
13107	1
13109	1
13111	2
13113	3
13115	4
13117	5
13119	3
13121	7
13123	3
13125	1
13127	1
13129	3
13131	1
13133	2
13135	6
13137	3
13139	5
13141	1
13143	3
13145	2
13147	3
13149	2
13151	3
13153	2
13155	1
13157	4
13159	2
13161	1
13163	1
13165	1
13167	1
13169	2
13171	2
13173	1
13175	1
13177	1
13179	1
13181	2
13183	1
13185	1
13187	4
13189	2
13191	1
13193	1
13195	3
13197	1
13199	2
13201	1
13205	1
13207	2
13209	1
13211	2
13213	3
13215	2
13217	2
13219	4
13221	2
13223	4
13225	2
13227	3
13229	1
13231	2
13233	3
13235	1
13237	2
13239	1
13241	3
13243	1
13245	5
13247	3
13249	1
13251	1
13253	1
13255	2
13257	3
13259	1
13261	1
13263	2
13265	2
13267	1
13269	1
13271	1
13273	1
13275	1
13277	1
13279	1
13281	3
13283	1
13285	2
13287	1
13289	1
13291	3
13293	2
13295	3
13297	3
13299	1
13301	1
13303	1
13305	1
13307	1
13309	1
13311	3
13313	4
13315	1
13317	2
13319	1
13321	1
17001	3
17003	3
17005	3
17007	4
17009	3
17011	4
17013	3
17015	4
17017	3
17019	4
17021	3
17023	3
17025	3
17027	3
17029	4
17031	4
17033	3
17035	3
17037	5
17039	3
17041	3
17043	10
17045	3
17047	3
17049	3
17051	3
17053	3
17055	3
17057	3
17059	3
17061	3
17063	4
17065	3
17067	3
17069	3
17071	3
17073	4
17075	3
17077	3
17079	3
17081	3
17083	3
17085	3
17087	3
17089	8
17091	4
17093	5
17095	4
17097	2
17099	4
17101	3
17103	4
17105	4
17107	3
17109	3
17111	5
17113	3
17115	4
17117	3
17119	3
17121	3
17123	4
17125	3
17127	3
17129	3
17131	3
17133	3
17135	3
17137	3
17139	3
17141	4
17143	4
17145	3
17147	3
17149	3
17151	3
17153	3
17155	4
17157	3
17159	3
17161	4
17163	4
17165	3
17167	4
17169	3
17171	3
17173	3
17175	4
17177	4
17179	4
17181	3
17183	4
17185	3
17187	3
17189	3
17191	3
17193	3
17195	4
17197	5
17199	3
17201	9
17203	4
18001	4
18003	4
18005	4
18007	4
18009	4
18011	5
18013	4
18015	4
18017	4
18019	3
18021	4
18023	4
18025	3
18027	3
18029	4
18031	4
18033	3
18035	4
18037	3
18039	4
18041	5
18043	5
18045	4
18047	4
18049	4
18051	3
18053	4
18055	4
18057	5
18059	5
18061	3
18063	6
18065	5
18067	5
18069	4
18071	4
18073	3
18075	4
18077	3
18079	4
18081	5
18083	3
18085	4
18087	3
18089	5
18091	4
18093	3
18095	5
18097	10
18099	4
18101	3
18103	4
18105	4
18107	4
18109	4
18111	3
18113	4
18115	4
18117	3
18119	4
18121	4
18123	3
18125	3
18127	4
18129	3
18131	4
18133	4
18135	4
18137	4
18139	4
18141	6
18143	3
18145	4
18147	3
18149	4
18151	3
18153	3
18155	3
18157	5
18159	4
18161	5
18163	5
18165	4
18167	4
18169	4
18171	3
18173	3
18175	3
18177	6
18179	4
18181	3
18183	4
19001	3
19003	3
19005	3
19007	3
19009	3
19011	4
19013	3
19015	3
19017	3
19019	3
19021	3
19023	3
19025	3
19027	3
19029	3
19031	3
19033	3
19035	3
19037	3
19039	3
19041	3
19043	3
19045	4
19047	3
19049	4
19051	3
19053	3
19055	3
19057	4
19059	3
19061	3
19063	3
19065	3
19067	3
19069	3
19071	3
19073	3
19075	3
19077	3
19079	3
19081	3
19083	3
19085	3
19087	3
19089	3
19091	3
19093	3
19095	3
19097	3
19099	3
19101	3
19103	5
19105	3
19107	3
19109	3
19111	3
19113	4
19115	3
19117	3
19119	2
19121	3
19123	3
19125	3
19127	3
19129	3
19131	3
19133	3
19135	3
19137	3
19139	4
19141	3
19143	3
19145	3
19147	3
19149	3
19151	3
19153	4
19155	3
19157	3
19159	3
19161	3
19163	5
19165	3
19167	3
19169	3
19171	3
19173	3
19175	3
19177	3
19179	3
19181	4
19183	3
19185	3
19187	3
19189	3
19191	3
19193	3
19195	3
19197	3
20001	3
20003	3
20005	3
20007	2
20009	2
20011	3
20013	3
20015	3
20017	3
20019	3
20021	3
20023	2
20025	2
20027	2
20029	2
20031	3
20033	2
20035	3
20037	3
20039	2
20041	2
20043	3
20045	5
20047	2
20049	3
20051	2
20053	2
20055	2
20057	2
20059	3
20061	3
20063	2
20065	2
20067	2
20069	2
20071	2
20073	3
20075	2
20077	2
20079	3
20081	2
20083	2
20085	3
20087	3
20089	2
20091	7
20093	2
20095	2
20097	2
20099	3
20101	2
20103	4
20105	2
20107	3
20109	2
20111	3
20113	3
20115	3
20117	3
20119	2
20121	3
20123	2
20125	3
20127	3
20129	2
20131	3
20133	3
20135	2
20137	2
20139	3
20141	2
20143	2
20145	2
20147	2
20149	3
20151	2
20153	2
20155	3
20157	2
20159	2
20161	3
20163	2
20165	2
20167	2
20169	3
20171	2
20173	5
20175	2
20177	4
20179	2
20181	2
20183	2
20185	2
20187	2
20189	2
20191	3
20193	2
20195	2
20197	3
20199	2
20201	2
20203	2
20205	3
20207	3
20209	6
21001	2
21003	2
21005	2
21007	3
21009	2
21011	2
21013	2
21015	5
21017	2
21019	2
21021	2
21023	2
21025	2
21027	3
21029	3
21031	2
21033	3
21035	3
21037	3
21039	3
21041	3
21043	2
21045	2
21047	3
21049	2
21051	2
21053	2
21055	3
21057	2
21059	4
21061	2
21063	2
21065	2
21067	2
21069	2
21071	1
21073	2
21075	3
21077	3
21079	2
21081	2
21083	3
21085	2
21087	2
21089	2
21091	3
21093	3
21095	2
21097	2
21099	2
21101	3
21103	2
21105	3
21107	3
21109	2
21111	5
21113	2
21115	1
21117	4
21119	2
21121	2
21123	2
21125	2
21127	2
21129	2
21131	2
21133	2
21135	2
21137	2
21139	3
21141	2
21143	3
21145	3
21147	2
21149	3
21151	2
21153	2
21155	2
21157	3
21159	1
21161	2
21163	3
21165	1
21167	2
21169	2
21171	2
21173	2
21175	1
21177	2
21179	2
21181	2
21183	2
21185	3
21187	2
21189	2
21191	2
21193	2
21195	2
21197	1
21199	2
21201	2
21203	2
21205	2
21207	2
21209	2
21211	2
21213	3
21215	2
21217	2
21219	2
21221	3
21223	3
21225	3
21227	2
21229	2
21231	2
21233	3
21235	2
21237	1
21239	3
22001	2
22003	2
22005	3
22007	1
22009	2
22011	2
22013	2
22015	2
22017	3
22019	2
22021	2
22023	1
22025	2
22027	2
22029	2
22031	3
22033	2
22035	2
22037	2
22039	2
22041	2
22043	2
22045	1
22047	1
22049	2
22051	1
22053	2
22055	2
22057	1
22059	2
22061	2
22063	2
22065	2
22067	2
