id	hyhivoc
19049	2.5
19051	2
19053	2
19055	2
19057	3
19059	1.5
19061	2.5
19063	1.5
19065	2
19067	2
19069	2
19071	2
19073	2
19075	2
19077	2
19079	2
19081	2
19083	2
19085	2
19087	2.5
19089	1.5
19091	2
19093	2
19095	2.5
19097	2.5
19099	2.5
19101	2.5
19103	4.5
19105	2.5
19107	2.5
19109	1.5
19111	2.5
19113	3
19115	2.5
19117	2
19119	1.5
19121	2.5
19123	2.5
19125	2
19127	2
19129	2
19131	1.5
19133	2
19135	2.5
19137	2
19139	3
19141	1.5
19143	1.5
19145	2
19147	1.5
19149	2
19151	2
19153	3.5
19155	2
19157	2.5
19159	2
19161	2
19163	5
19165	2
19167	1.5
19169	2
19171	2.5
19173	2
19175	2
19177	2
19179	2.5
19181	3
19183	2.5
19185	2
19187	2.5
19189	1.5
19191	1.5
19193	2
19195	1.5
19197	2
20001	2
20003	2.5
20005	2
20007	1.5
20009	1.5
20011	2
20013	2
20015	2
20017	2
20019	2
20021	2.5
20023	1
20025	1
20027	1.5
20029	1.5
20031	2
20033	1.5
20035	2
20037	2.5
20039	1
20041	2
20043	2
20045	5
20047	1.5
20049	2
20051	1.5
20053	1.5
20055	1
20057	1.5
20059	3
20061	2.5
20063	1
20065	1
20067	1
20069	1
20071	1
20073	2
20075	1
20077	2
20079	2
20081	1
20083	1
20085	2
20087	2
20089	1.5
20091	8.5
20093	1
20095	1.5
20097	1.5
20099	2.5
20101	1
20103	3
20105	1.5
20107	2.5
20109	1
20111	2
20113	2
20115	2
20117	2
20119	1
20121	3
20123	1.5
20125	2
20127	2
20129	1
20131	2
20133	2.5
20135	1
20137	1
20139	2.5
20141	1.5
20143	1.5
20145	1.5
20147	1.5
20149	2
20151	1.5
20153	1
20155	2
20157	1.5
20159	1.5
20161	2
20163	1.5
20165	1.5
20167	1.5
20169	2.5
20171	1
20173	6
20175	1
20177	3.5
20179	1
20181	1
20183	1.5
20185	1.5
20187	1
20189	1
20191	2.5
20193	1
20195	1
20197	2
20199	1
20201	1.5
20203	1
20205	2
20207	2.5
20209	6.5
21001	2.5
21003	2.5
21005	3
21007	2.5
21009	3
21011	2.5
21013	2.5
21015	7
21017	2.5
21019	4
21021	3
21023	2.5
21025	2
21027	3
21029	3.5
21031	2.5
21033	2.5
21035	2.5
21037	3.5
21039	2.5
21041	3
21043	2.5
21045	2.5
21047	3
21049	2.5
21051	2.5
21053	2.5
21055	2.5
21057	2.5
21059	4
21061	2.5
21063	2
21065	2.5
21067	3
21069	2
21071	2.5
21073	3
21075	2.5
21077	3.5
21079	3
21081	2.5
21083	3
21085	2.5
21087	3
21089	3
21091	3
21093	3
21095	3
21097	2.5
21099	2.5
21101	3.5
21103	2.5
21105	2.5
21107	3
21109	2.5
21111	9
21113	4
21115	2.5
21117	4.5
21119	2.5
21121	2.5
21123	2.5
21125	2.5
21127	2.5
21129	2
21131	2.5
21133	3
21135	2.5
21137	2.5
21139	2.5
21141	2.5
21143	2.5
21145	3
21147	2.5
21149	3
21151	2.5
21153	2
21155	2.5
21157	2.5
21159	2
21161	2.5
21163	3.5
21165	2
21167	3
21169	2.5
21171	2.5
21173	2.5
21175	2
21177	3
21179	2.5
21181	2.5
21183	2.5
21185	3
21187	2.5
21189	2
21191	2.5
21193	2.5
21195	2.5
21197	2
21199	2.5
21201	2.5
21203	2.5
21205	2
21207	2.5
21209	2.5
21211	3
21213	3
21215	2.5
21217	3
21219	2.5
21221	2.5
21223	3
21225	3
21227	3
21229	2.5
21231	2.5
21233	3
21235	3
21237	2
21239	3.5
22001	3
22003	2
22005	4
22007	2
22009	2
22011	2.5
22013	2.5
22015	2
22017	3
22019	3
22021	2
22023	2
22025	2
22027	2
22029	2
22031	3.5
22033	3.5
22035	2
22037	2
22039	2
22041	2
22043	2
22045	1.5
22047	2
22049	2.5
22051	1.5
22053	2
22055	4.5
22057	1.5
22059	2
22061	2.5
22063	3
22065	2
22067	2
22069	2
22071	4.5
22073	5
22075	1
22077	2
22079	3
22081	2
22083	2
22085	2
22087	1.5
22089	3
22091	2.5
22093	2.5
22095	3.5
22097	2
22099	2.5
22101	1.5
22103	3
22105	3
22107	2
22109	1
22111	2
22113	2.5
22115	2
22117	2.5
22119	2
22121	2.5
22123	2
22125	2
22127	2
23001	1
23003	0
23005	1.5
23007	0.5
23009	0
23011	0.5
23013	0
23015	0
23017	1
23019	0
23021	0
23023	0.5
23025	0.5
23027	0.5
23029	0
23031	0.5
24001	3
24003	1.5
24005	6.5
24009	1
24011	1.5
24013	7
24015	3
24017	1.5
24019	1
24021	5.5
24023	3.5
24025	2.5
24027	9.5
24029	1.5
24031	8.5
24033	2
24035	1.5
24037	1.5
24039	1
24041	1.5
24043	5
24045	1
24047	0.5
24510	8.5
25001	0.5
25003	3.5
25005	2
25007	0.5
25009	1
25011	3
25013	3
25015	3.5
25017	11.5
25019	0
25021	6
25023	0.5
25025	0.5
25027	7
26001	0
26003	0
26005	1.5
26007	0.5
26009	0.5
26011	0.5
26013	0.5
26015	2.5
26017	1
26019	0.5
26021	2.5
26023	3
26025	3
26027	3
26029	0.5
26031	0.5
26033	0.5
26035	1.5
26037	2.5
26039	0.5
26041	0.5
26043	0.5
26045	3.5
26047	0.5
26049	4
26051	1
26053	0.5
26055	1
26057	2
26059	3
26061	0.5
26063	0.5
26065	3.5
26067	2
26069	0.5
26071	0.5
26073	2.5
26075	4
26077	3.5
26079	0.5
26081	3
26083	0
26085	1
26087	1.5
26089	0.5
26091	3
26093	4.5
26095	0
26097	0
26099	1.5
26101	0.5
26103	0.5
26105	1
26107	1.5
26109	0.5
26111	2
26113	1
26115	2
26117	2
26119	0.5
26121	1.5
26123	1.5
26125	8
26127	1.5
26129	1
26131	0
26133	1
26135	0.5
26137	0.5
26139	1.5
26141	0
26143	1
26145	2
26147	1.5
26149	3
26151	0.5
26153	0.5
26155	3
26157	1
26159	2.5
26161	6.5
26163	7.5
26165	1
27001	0.5
27003	2
27005	0.5
27007	0.5
27009	1.5
27011	1
27013	1.5
27015	1.5
27017	0.5
27019	3
27021	0.5
27023	1.5
27025	1
27027	1
27029	0.5
27031	0
27033	1.5
27035	1
27037	1.5
27039	1.5
27041	1
27043	1.5
27045	1.5
27047	1.5
27049	1.5
27051	1
27053	6.5
27055	1.5
27057	0.5
27059	1
27061	0.5
27063	1.5
27065	0.5
27067	1.5
27069	0
27071	0
27073	1
27075	0.5
27077	0
27079	2
27081	1.5
27083	1.5
27085	2
27087	0.5
27089	0.5
27091	1.5
27093	2
27095	0.5
27097	1
27099	1.5
27101	1.5
27103	2
27105	1.5
27107	0.5
27109	2
27111	1
27113	0.5
27115	0.5
27117	1.5
27119	0.5
27121	1
27123	12
27125	0.5
27127	1.5
27129	1.5
27131	2
27133	1.5
27135	0
27137	0.5
27139	2
27141	1.5
27143	2
27145	1
27147	1.5
27149	1
27151	1
27153	1
27155	1
27157	2
27159	0.5
27161	1.5
27163	2
27165	1.5
27167	1
27169	1.5
27171	2
27173	1
28001	2
28003	3
28005	2.5
28007	2
28009	3
28011	2
28013	2
28015	2
28017	2
28019	2
28021	2
28023	2
28025	2
28027	2.5
28029	2
28031	2
28033	8.5
28035	4
28037	2
28039	2
28041	2
28043	2.5
28045	2.5
28047	3
28049	2
28051	2
28053	2
28055	2
28057	2.5
28059	2
28061	2
28063	2
28065	2
28067	2.5
28069	2
28071	2.5
28073	2.5
28075	2
28077	2
28079	2
28081	3
28083	2
28085	2
28087	3.5
28089	2
28091	2.5
28093	3
28095	2.5
28097	2
28099	2
28101	2
28103	2
28105	2.5
28107	2.5
28109	2.5
28111	2.5
28113	2.5
28115	2.5
28117	2.5
28119	2.5
28121	3
28123	2
28125	2
28127	2
28129	2
28131	2.5
28133	2
28135	2
28137	3
28139	2.5
28141	2.5
28143	2.5
28145	2.5
28147	2.5
28149	2
28151	2.5
28153	2
28155	2
28157	2
28159	2
28161	2
28163	2
29001	2
29003	2
29005	2
29007	2.5
29009	2.5
29011	2.5
29013	2.5
29015	2
29017	2.5
29019	3
29021	4.5
29023	3
29025	2
29027	2.5
29029	2.5
29031	2.5
29033	2
29035	2.5
29037	3
29039	2
29041	2
29043	2.5
29045	2.5
29047	2.5
29049	2
29051	4
29053	2
29055	3
29057	2
29059	2.5
29061	2
29063	2
29065	2.5
29067	2
29069	2.5
29071	4
29073	2.5
29075	2
29077	4.5
29079	2
29081	2
29083	2
29085	2.5
29087	2
29089	2
29091	2
29093	3
29095	6.5
29097	3
29099	4.5
29101	2.5
29103	2
29105	2
29107	2.5
29109	2
29111	2
29113	2.5
29115	2
29117	2
29119	2.5
29121	2
29123	2.5
29125	2.5
29127	2.5
29129	2
29131	2.5
29133	2.5
29135	2.5
29137	2
29139	2.5
29141	2.5
29143	2.5
29145	3
29147	2
29149	2
29151	2.5
29153	2
29155	2.5
29157	2.5
29159	2.5
29161	2.5
29163	2.5
29165	2.5
29167	2.5
29169	2.5
29171	2
29173	2
29175	2
29177	2
29179	2
29181	2.5
29183	7
29185	2
29186	2.5
29187	3
29189	13
29195	2
29197	2
29199	2
29201	2.5
29203	2
29205	2
29207	2.5
29209	2.5
29211	2
29213	2.5
29215	2
29217	2
29219	4
29221	3
29223	2.5
29225	2.5
29227	2
29229	2
29510	9
31001	2
31003	1.5
31005	1
31007	1
31009	1
31011	1.5
31013	1
31015	1
31017	1
31019	2
31021	2
31023	2
31025	2.5
31027	1.5
31029	1
31031	1
31033	1
31035	1.5
31037	1.5
31039	2
31041	1.5
31043	1.5
31045	1
31047	1.5
31049	1
31051	1.5
31053	2
31055	7.5
31057	1
31059	1.5
31061	1.5
31063	1
31065	1
31067	2
31069	1
31071	1.5
31073	1.5
31075	1
31077	1.5
31079	1.5
31081	1.5
31083	1.5
31085	1
31087	1
31089	1
31091	1
31093	1.5
31095	1.5
31097	2
31099	1.5
31101	1
31103	1
31105	1
31107	1.5
31109	8
31111	1.5
31113	1
31115	1
31117	1
31119	1.5
31121	1.5
31123	1
31125	1.5
31127	2
31129	1.5
31131	2
31133	2
31135	1
31137	1.5
31139	1.5
31141	1.5
31143	2
31145	1
31147	2
31149	1
31151	1.5
31153	3.5
31155	2.5
31157	1
31159	2
31161	1
31163	1.5
31165	1
31167	1.5
31169	1.5
31171	1
31173	1.5
31175	1.5
31177	2.5
31179	1.5
31181	1.5
31183	1.5
31185	1.5
33001	1
33003	1
33005	3
33007	0.5
33009	1
33011	4
33013	2.5
33015	1
33017	1.5
33019	2
34001	3
34003	15
34005	1.5
34007	2
34009	1
34011	1
34013	20
34015	4
34017	29
34019	4
34021	4
34023	5
34025	2.5
34027	10.5
34029	1
34031	14.5
34033	2
34035	8.5
34037	7.5
34039	15.5
34041	6.5
36001	3
36003	2
36005	8.5
36007	2.5
36009	2.5
36011	3
36013	2
36015	3
36017	2.5
36019	1
36021	3
36023	2
36025	2.5
36027	3
36029	3
36031	1
36033	1
36035	2.5
36037	2.5
36039	2.5
36041	1
36043	1.5
36045	2
36047	5.5
36049	1
36051	2
36053	2.5
36055	1
36057	3.5
36059	10
36061	17
36063	1
36065	3
36067	2.5
36069	2.5
36071	5
36073	1
36075	1.5
36077	2.5
36079	4
36081	6.5
36083	2.5
36085	2
36087	5
36089	0.5
36091	2.5
36093	6
36095	2.5
36097	2.5
36099	2.5
36101	2.5
36103	0.5
36105	3.5
36107	2.5
36109	2.5
36111	3
36113	1.5
36115	1.5
36117	1
36119	3.5
36121	2
36123	2.5
37001	3.5
37003	4
37005	3.5
37007	2.5
37009	3.5
37011	4
37013	1
37015	1
37017	1.5
37019	1.5
37021	6.5
37023	5
37025	4
37027	4.5
37029	0.5
37031	0.5
37033	2.5
37035	5
37037	3
37039	3
37041	1
37043	3
37045	4.5
37047	1.5
37049	1
37051	2.5
37053	0
37055	0
37057	4.5
37059	5.5
37061	1.5
37063	3.5
37065	1.5
37067	5.5
37069	2
37071	6.5
37073	1
37075	3
37077	2.5
37079	2.5
37081	4
37083	1.5
37085	3
37087	5.5
37089	5.5
37091	1
37093	4
37095	0
37097	4
37099	4
37101	3
37103	1.5
37105	2.5
37107	2.5
37109	5.5
37111	4
37113	4
37115	4
37117	1
37119	7.5
37121	4
37123	2.5
37125	2.5
37127	2
37129	1
37131	1.5
37133	1.5
37135	4
37137	0.5
37139	1
37141	1.5
37143	0.5
37145	2.5
37147	1.5
37149	4
37151	3.5
37153	2.5
37155	2
37157	3.5
37159	4.5
37161	4.5
37163	2
37165	2.5
37167	2.5
37169	3.5
37171	4
37173	3.5
37175	4.5
37177	0.5
37179	2.5
37181	2
37183	5.5
37185	1.5
37187	0.5
37189	4
37191	4
37193	4
37195	2.5
37197	4
37199	4
38001	0.5
38003	0.5
38005	0.5
38007	0.5
38009	0.5
38011	0.5
38013	0.5
38015	1
38017	0.5
38019	0.5
38021	0.5
38023	0.5
38025	0.5
38027	0.5
38029	0.5
38031	0.5
38033	0.5
38035	0.5
38037	0.5
38039	0.5
38041	0.5
38043	0.5
38045	0.5
38047	0.5
38049	0.5
38051	0.5
38053	0.5
38055	0.5
38057	0.5
38059	0.5
38061	0.5
38063	0.5
38065	0.5
38067	0.5
38069	0.5
38071	0.5
38073	0.5
38075	0.5
38077	1
38079	0.5
38081	0.5
38083	0.5
38085	0.5
38087	0.5
38089	0.5
38091	0.5
38093	0.5
38095	0.5
38097	0.5
38099	0.5
38101	0.5
38103	0.5
38105	0.5
39001	2.5
39003	3
39005	4
39007	2
39009	2.5
39011	3.5
39013	4.5
39015	2.5
39017	6
39019	3.5
39021	3.5
39023	5
39025	3
39027	3
39029	4
39031	3.5
39033	4
39035	1.5
39037	4
39039	2.5
39041	3.5
39043	2
39045	3
39047	3
39049	9
39051	3
39053	2.5
39055	2.5
39057	3.5
39059	3.5
39061	9.5
39063	3
39065	3
39067	4.5
39069	2.5
39071	2.5
39073	2.5
39075	3.5
39077	3.5
39079	2.5
39081	6.5
39083	3
39085	1
39087	3
39089	4
39091	3
39093	5.5
39095	2
39097	5
39099	6
39101	3.5
39103	5.5
39105	2.5
39107	3.5
39109	4
39111	3
39113	13.5
39115	2.5
39117	3.5
39119	3.5
39121	3
39123	2
39125	3
39127	3.5
39129	4
39131	2.5
39133	3
39135	4.5
39137	2.5
39139	4
39141	4
39143	3
39145	3
39147	3
39149	3.5
39151	4
39153	5.5
39155	2.5
39157	4
39159	3.5
39161	3
39163	2.5
39165	3.5
39167	3
39169	4.5
39171	3
39173	2.5
39175	3
40001	2.5
40003	1.5
40005	2
40007	1
40009	1.5
40011	1.5
40013	2.5
40015	2
40017	2.5
40019	2
40021	2.5
40023	2
40025	1
40027	4
40029	2
40031	2
40033	2
40035	2.5
40037	2.5
40039	1.5
40041	2.5
40043	1.5
40045	1.5
40047	2
40049	2.5
40051	2.5
40053	2
40055	1.5
40057	1.5
40059	1.5
40061	2
40063	2.5
40065	1.5
40067	2.5
40069	2
40071	2
40073	2
40075	1.5
40077	2
40079	2
40081	2
40083	2
40085	2
40087	3.5
40089	1.5
40091	3
40093	1.5
40095	2.5
40097	2.5
40099	2.5
40101	4.5
40103	2
40105	2
40107	2.5
40109	4.5
40111	3
40113	2
40115	2.5
40117	2
40119	2
40121	2.5
40123	2.5
40125	3.5
40127	1.5
40129	1.5
40131	2.5
40133	2.5
40135	2.5
40137	2.5
40139	1
40141	1.5
40143	7.5
40145	3
40147	2
40149	1.5
40151	1.5
40153	1.5
42001	4.5
42003	11
42005	3
42007	6.5
42009	3
42011	7
42013	3.5
42015	3
42017	5
42019	3
42021	5
42023	2.5
42025	5
42027	3.5
42029	10.5
42031	2.5
42033	2.5
42035	3.5
42037	5
42039	2
42041	5
42043	5
42045	10.5
42047	2.5
42049	3
42051	3.5
42053	2.5
42055	5
42057	3.5
42059	3.5
42061	3.5
42063	3
42065	3
42067	4
42069	4.5
42071	5
42073	3.5
42075	5.5
42077	9
42079	5.5
42081	4
42083	2.5
42085	2.5
42087	4
42089	5.5
42091	11.5
42093	5
42095	4.5
42097	6
42099	5
42101	5.5
42103	4.5
42105	2.5
42107	5
42109	4.5
42111	3.5
42113	3.5
42115	3
42117	3
42119	4.5
42121	2.5
42123	2.5
42125	5.5
42127	3.5
42129	4.5
42131	4.5
42133	4
44001	2.5
44003	2
44005	0.5
44007	9
44009	0.5
45001	2.5
45003	2
45005	2
45007	4
45009	2
45011	2
45013	2
45015	1.5
45017	2
45019	3
45021	3.5
45023	2.5
45025	2.5
45027	2
45029	2
45031	2
45033	2.5
45035	2
45037	2.5
45039	2.5
45041	2
45043	1
45045	7.5
45047	3
45049	2
45051	2
45053	2
45055	2.5
45057	2.5
45059	2.5
45061	2.5
45063	5.5
45065	2
45067	2
45069	2.5
45071	2.5
45073	4
45075	2
45077	4.5
45079	3
45081	2.5
45083	4.5
45085	2.5
45087	2.5
45089	1.5
45091	4
46003	1
46005	1
46007	1
46009	1.5
46011	1.5
46013	1
46015	1
46017	1
46019	0.5
46021	0.5
46023	1
46025	1
46027	1.5
46029	1
46031	0.5
46033	1
46035	1
46037	1
46039	1
46041	0.5
46043	1
46045	1
46047	1
46049	1
46051	1
46053	1
46055	1
46057	1
46059	1
46061	1
46063	0.5
46065	1
46067	1
46069	1
46071	1
46073	1
46075	1
46077	1
46079	1.5
46081	1
46083	1.5
46085	1
46087	1.5
46089	0.5
46091	1
46093	1
46095	1
46097	1
46099	2.5
46101	1.5
46103	1
46105	0.5
46107	0.5
46109	1
46111	1
46102	1
46115	1
46117	1
46119	1
46121	1
46123	1
46125	1.5
46127	1.5
46129	0.5
46135	1.5
46137	0.5
47001	4.5
47003	3.5
47005	3
47007	3.5
47009	3.5
47011	3.5
47013	3
47015	3
47017	3
47019	3.5
47021	3.5
47023	3
47025	3
47027	2.5
47029	4
47031	3.5
47033	3
47035	3.5
47037	9.5
47039	2.5
47041	3
47043	3.5
47045	3
47047	3
47049	3
47051	3.5
47053	3
47055	3
47057	3.5
47059	4
47061	3
47063	3.5
47065	5
47067	3
47069	2.5
47071	2.5
47073	3.5
47075	3
47077	2.5
47079	3
47081	2.5
47083	2.5
47085	2.5
47087	2.5
47089	4
47091	3.5
47093	5.5
47095	2.5
47097	3
47099	3
47101	2.5
47103	3
47105	4.5
47107	3.5
47109	3
47111	3
47113	5
47115	4
47117	3.5
47119	4
47121	3.5
47123	3
47125	5
47127	3.5
47129	3.5
47131	3
47133	2.5
47135	2.5
47137	2.5
47139	3
47141	3
47143	3
47145	4
47147	3
47149	5
47151	3
47153	3
47155	4
47157	7
47159	2.5
47161	2.5
47163	5
47165	3
47167	3.5
47169	3
47171	4
47173	3
47175	3
47177	3
47179	5
47181	2.5
47183	3
47185	3
47187	6.5
47189	3
48001	3.5
48003	1.5
48005	3.5
48007	1.5
48009	2.5
48011	1.5
48013	2
48015	3.5
48017	1.5
48019	1.5
48021	4
48023	1.5
48025	2
48027	4
48029	7
48031	2.5
48033	1.5
48035	3.5
48037	2
48039	3
48041	3
48043	0.5
48045	1.5
48047	1
48049	2.5
48051	3
48053	2.5
48055	4
48057	2
48059	2
48061	2.5
48063	2.5
48065	1.5
48067	2
48069	1.5
48071	4
48073	3
48075	1.5
48077	2
48079	1.5
48081	1.5
48083	2
48085	3
48087	1
48089	2.5
48091	3
48093	2.5
48095	1.5
48097	2
48099	3
48101	1.5
48103	1.5
48105	1.5
48107	1.5
48109	1
48111	1
48113	17
48115	1.5
48117	1.5
48119	3
48121	2.5
48123	2.5
48125	1
48127	1
48129	1
48131	1
48133	2
48135	1.5
48137	1
48139	9
48141	3.5
48143	2.5
48145	3.5
48147	2.5
48149	3
48151	1.5
48153	1.5
48155	1.5
48157	7
48159	2
48161	3.5
48163	1.5
48165	1.5
48167	4.5
48169	1.5
48171	2
48173	1.5
48175	2
48177	3
48179	1.5
48181	3
48183	3.5
48185	3
48187	4
48189	1.5
48191	1.5
48193	2.5
48195	1
48197	1.5
48199	3
48201	13.5
48203	2.5
48205	1
48207	1.5
48209	3
48211	1
48213	3.5
48215	1
48217	5.5
48219	1.5
48221	3.5
48223	2.5
48225	2.5
48227	1.5
48229	1
48231	3.5
48233	1
48235	1.5
48237	2
48239	2.5
48241	2.5
48243	1
48245	6
48247	1
48249	1.5
48251	8.5
48253	1.5
48255	2.5
48257	5.5
48259	2.5
48261	1
48263	1
48265	2
48267	1.5
48269	1
48271	1
48273	1.5
48275	1.5
48277	2
48279	1.5
48281	2.5
48283	1
48285	2.5
48287	3
48289	3
48291	3.5
48293	4
48295	1
48297	1.5
48299	2
48301	1
48303	2
48305	2
48307	2
48309	5
48311	1.5
48313	3
48315	2
48317	1.5
48319	2
48321	2
48323	1
48325	1.5
48327	1.5
48329	2.5
48331	3
